YFR028C, 01,10,14
YIL106W, 10,11,14,18
YDR025W, 12
YML091C, 11,12,42
YBR025C, 14
YBR282W, 12,42
YDR237W, 12,42
YDL045W-A, 12,42
YDR468C, 14,20,42
YPL267W, 10
YOR089C, 14,20
YOR090C, 01,14
YJL076W, 10,11,16,42
YJR051W, 01,02,20,32
YBR102C, 11,14,16,20,40,42,43
YML097C, 14,18,20
YLR421C, 14
YDR174W, 11,16
YLR203C, 11,12
YBR039W, 02,20,34
YGL078C, 11,12,16
YPL084W, 14,20,30,32,34
YGR167W, 16,20,40
YMR223W, 14
YNR007C, 14,20
YOR098C, 14,16,20,42
YLR043C, 10,14,20,32,42
YKL038W, 01,11,16,18,20
YBR196C, 01,02
YDL052C, 01
YER110C, 14,20
YLL012W, 01
YJR093C, 11,16
YLR237W, 20
YML132W, 34
YIL083C, 01
YNL289W, 10,18
YDL217C, 14,20
YBL052C, 10,11,14,34
YPL211W, 11,12
YDL244W, 01
YKR054C, 02,10,20
YGL106W, 02,10,20,42,43
YMR304W, 14
YKL101W, 01,10,14,43
YNR006W, 14,16,20
YLR441C, 12,34
YER057C, 32
